题型,题目,选项1,选项2,选项3,选项4,选项5,选项6,答案,答案解析,分值
单选题,"【题库材料 A09】
年级阶段：初中（初三）
学科：化学
主题：原子的构成

【对话 A】
［前段］
学生：是1.6×10的负19次方库仑，电子和质子带的电荷量大小都是这个值，只不过一个带负电一个带正电。
老师：很好，你能准确说出1.6×10⁻¹⁹库仑这个数值，非常棒！老师帮你把这个基础知识点再明确一下：质子…
学生：老师，我记住了，元电荷就是1.6×10⁻¹⁹库仑，是所有电荷量的最小单位，质子和电子带的电荷量都正…
［中段］
学生：老师，最外层最多能容纳8个电子。因为核外电子是分层排布的，第一层最多2个，第二层最多8个，第三层作…
老师：你刚才说得很对——最外层7个电子离稳定结构只差1个，所以化学性质活泼。那老师想请你把这条推理链条再…
学生：老师，我知道，第一层最多排2个，第二层最多排8个，最外层最多也不能超过8个电子。当最外层达到8个电…
［后段］
学生：我觉得这个吸引力是指原子核和核外电子之间的作用，因为原子核带正电，核外电子带负电，正负电荷会互相吸…
老师：你这个磁铁的比喻很形象！那老师顺着你的比喻追问一步：磁铁磁力强，能吸得更牢——那在原子里，核电荷数…
学生：会的！因为氯的核电荷数多，对电子的吸引力强，所以它得完电子之后，那个多出来的电子被原子核拉得更紧，…

【对话 B】
［前段］
老师：你说电子层有远近之分，那不同电子层离核的远近不同，它们容纳的电子数量会不会也有差别呢？
学生：我觉得有差别，就像教室里的座位，离讲台近的排和远的排坐的人数可能不一样，离核近的电子层空间小，能容…
老师：你提到离核近的电子层空间小、能容纳的电子少，那你知道第一层最多能容纳几个电子吗？
［中段］
老师：你刚才提到氯离子最外层8个电子是稳定结构，那这个‘稳定结构’和我们之前学的稀有气体最外层排布有什么…
学生：对对对，稀有气体像氖、氩，它们最外层就是8个电子，所以特别稳定，不容易反应，氯离子变成8个电子后就…
老师：你刚才提到氯离子和稀有气体结构相似，那这个相似性能不能解释为什么钠原子容易失去最外层1个电子？试着…
［后段］
老师：你说镁原子半径比钠原子小，依据是质子数多吸引强，那为什么同样是三层电子，铝原子有13个质子，半径会…
学生：可以，铝原子和钠原子都是三层电子，铝有13个质子比钠的11个多，质子越多对电子吸引越强，所以铝原子…
老师：你发现原子半径和离子半径都可以用'先比层数、再比质子数'来判断，那这个规律能不能解释为什么氯原子半…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A09：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A09：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A09：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A09：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A10】
年级阶段：初中（初一）
学科：数学
主题：三角形的内角和

【对话 A】
［前段］
学生：我来总结一下：首先两个角的和必须是180度；其次它们还要有共同的顶点，并且有一条公共边，另外两条边…
老师：你的总结已经非常完整了。老师再帮你把这两条条件的关系梳理得更严谨：两个角互补，加上有一条公共边且顶…
学生：老师，我明白您的意思了，您的意思是说，“互补”和“有公共边且顶点相同”这两条只要同时满足，就能推出…
［中段］
学生：平角的定义是：一条射线绕它的端点旋转，当终边和始边成一条直线时，这时所成的角叫做平角。所以除了度数…
老师：你刚才复述得很完整，但还有一点关键的结构条件值得注意：射线绕端点旋转形成平角时，旋转方向是从起始边…
学生：我觉得体现在这里：角DCA的起始边是CD，角ACB的起始边是CB，从CD转到CB正好转了半圈，转到…
［后段］
老师：你举的‘门轴’这个例子非常贴切！门轴装在左边还是右边，就相当于旋转中心选在点O还是点A。那你能顺着…
学生：就像门轴固定在门框上一样，图里的固定点就是点O或者点A，它不在线段AB和CD上，而是在它们外面，所…
老师：你说得很到位！固定点在两条线段外面，端点离它的距离不同，所以转到的位置就不同——这正是旋转中心位置…

【对话 B】
［前段］
学生：老师，内角和定理的树干是不是平行线的性质？我记得小学画平行线的时候，把角挪一挪就能拼成180度，是…
老师：你提到平行线是内角和定理的树干，那我们能不能先回顾一下，用平行线证明三角形内角和时，具体需要构造哪…
学生：我觉得可以过顶点A作一条平行于BC的直线，这样就能把角B和角C搬到角A旁边，用同旁内角互补来拼出1…
［中段］
学生：依据的是两直线平行，同旁内角互补这条性质定理，因为过顶点作的平行线把角B和角C搬到了角A旁边，它们…
老师：你刚才说到了同旁内角互补，但注意这个证明里其实还隐含了同位角相等或内错角相等的关系——你能不能顺着…
学生：我标了一下，过点A作DE平行于BC后，角B对应的是角DAB，角C对应的是角EAC，这两对都是用两直…
［后段］
老师：你提到测量接近180°但会有误差，那我想问你：测量得到的是近似值，而证明得到的是精确值，这两者在数…
学生：我觉得测量是实验验证，只能说明它看起来对，但可能有误差；证明是从公理出发一步步推出来的，每一步都有…
老师：你刚才说证明是从公理出发推出来的，那你能指出我们这节课的证明里，每一步推理分别依赖了哪一条公理或定…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A10：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A10：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A10：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A10：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A11】
年级阶段：高中（高二）
学科：数学
主题：充要条件

【对话 A】
［前段］
学生：如果两个集合相等，那p和q就互为充要条件，可是为什么有时候题目里明明两个条件等价，还非要分清楚哪个…
老师：你提的这个问题很关键——两个条件本质相同，为什么还要区分充分和必要？我想先问一下：在解题时，如果题…
学生：不能直接断定，因为充分条件只保证p的集合是q的子集，但p的集合可能比q的小，比如x大于2是x大于1…
［中段］
老师：如果我把题目改一下：p是‘x为整数且x²=1’，q是‘x²=1’，那么p和q分别对应的集合是什么？…
学生：p对应的集合是{-1,1}，因为x必须是整数且满足x²=1；q对应的是实数范围内满足x²=1的数，…
老师：既然你发现加上整数限制后集合反而相等了，那如果我把p改成‘x为自然数且x²=1’，q不变，集合还相…
［后段］
学生：不一样了。p对应(3,+∞)，q对应[2,+∞)，(3,+∞)还是[2,+∞)的真子集，所以p依然…
老师：既然p的范围变小了但结论不变，那如果我把q也改成‘x≥3’，p还是‘x>3’，集合关系会怎么变？
学生：p对应(3,+∞)，q对应[3,+∞)，p还是q的真子集，所以结论还是充分不必要条件，只是从x>3…

【对话 B】
［前段］
学生：老师，我觉得‘p是q的必要条件’对应的是‘q能推出p’，也就是说反过来看，‘全班都交了’能推出‘有…
老师：你总结得很准确：q推出p时，p就是q的必要条件。现在我们把这两层关系合在一起看——如果既满足q推出…
学生：老师，我觉得‘当且仅当’就是把充分和必要两个条件合在一起看：p推出q说明p是q的充分条件，q推出p…
［中段］
学生：老师，我觉得这个反例正好对应了必要条件的含义：因为x=-1是满足x²=1却不满足x=1的情况，所以…
老师：你刚才把反例和必要条件联系起来了，这个方向很关键。我们把它说透：x=-1这个反例，它同时承担了两个…
学生：用集合来看的话，x²=1的解集是{-1，1}，x=1的解集是{1}，因为{-1，1}包含{1}，所…
［后段］
老师：很好，你刚才提到本质相同就是看集合是否完全一致。那老师想请大家一起归纳：经过这一整节课的讨论，我们…
学生：老师，我来总结一下。我们判断充要条件其实经历了三个层次：最开始是用定义一步步验证p能推出q、q能推…
老师：你刚才说这三种方法是层层递进、从具体到抽象的三种表达方式，那你个人觉得，在你自己解决问题的时候，哪…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A11：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A11：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A11：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A11：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A12】
年级阶段：小学（四年级）
学科：数学
主题：角的度量

【对话 A】
［前段］
学生：我能用‘内侧’来说：锐角的两条边都落在直角对应两条边的内侧，所以锐角就在直角里面，比直角小。
老师：你说得很好——锐角就在直角里面。那老师再帮你往前推一步：现在我们从顶点出发，沿着直角的边往外看，锐…
学生：我觉得锐角的边会一直贴着直角边的内侧移动，不会跑到外侧去，因为如果它跑到外侧去了，那这个角就比直角…
［中段］
学生：老师，我觉得如果换到另一条直角边来看，锐角的那条边就不算在‘里面’了，因为它跑到那条边的另一边去了…
老师：你刚才的发现很重要：换一条直角边，说法就变了。现在跟着老师做——先固定住一条直角边当标准，把角的顶…
学生：老师，我试了一下。我把角的顶点和直角边的起点对齐，让角的一条边贴着直角边放好，结果锐角的另一条边就…
［后段］
老师：你说得太到位了！'1度'不只是一个小格子，而是这个半圆弯弯地被分成180份中的一份——这句话把角度…
学生：老师，听了您的话，我自己在心里又默念了一遍：1度就是这个半圆弯弯地被平均分成180份中的一份。我觉…
老师：你能在心里默念并确认自己真正理解了'1度'是什么，这比光记住定义要扎实得多。既然你已经亲手把这个概…

【对话 B】
［前段］
老师：既然我们可以通过旋转或观察中心点来判断读数，那谁能说说，量角器上内圈和外圈的0刻度线分别在什么位置？
学生：内圈的0刻度线在右边，外圈的0刻度线在左边，正好是相反的。
老师：刚才你说内圈0刻度在右、外圈在左，那如果角的开口朝下，0刻度线对应的位置会不会也反过来？你试着自己…
［中段］
老师：你刚才提到读数时要分清内圈和外圈，那老师想考考你：如果一条边和量角器的内圈0刻度线重合，另一条边指…
学生：如果一条边和内圈0刻度线重合，另一条边指向60，那就是读内圈的60，所以角是60度；如果一条边和外…
老师：你回答得很清楚。那老师要追问一下：如果一条边和内圈0刻度线重合，另一条边指向外圈的60，这时候应该…
［后段］
学生：如果一条边恰好和刻度线重合而不是0刻度线，那就不能直接用它做起点来读数了，得先把这条边转到和0刻度…
老师：那你想想看，如果把量角器中心对准角的顶点，一条边和0刻度线重合，但另一条边指到了两圈刻度之间，比如…
学生：我觉得可以这样想，就像我们看温度计一样，0刻度线就是起点，起点在哪边就顺着哪边数，所以就算另一条边…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A12：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A12：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A12：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A12：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A13】
年级阶段：初中（初二）
学科：物理
主题：测量平均速度

【对话 A】
［前段］
学生：因为路程很短，时间也很短，速度就差不多等于那一瞬间的快慢；而整段平均速度是把整段路程的总时间都算进…
老师：你刚才说短距离的速度接近瞬时速度，那如果我们在斜面上装三个光电门，分别测出两段短距离的速度，能不能…
学生：可以判断，如果三段距离都用光电门测出速度，看相邻速度的差是不是相等，差相等就说明是匀加速，因为匀加…
［中段］
老师：如果用三段不等长的路程算加速度，每一段的平均速度近似为哪一时刻的瞬时速度？这个时刻和该段中点时刻有…
学生：我觉得每一段的平均速度应该近似等于这一段时间中点的瞬时速度，因为平均速度就是在时间中点附近的值，所…
老师：很好，你提到了中点时刻这个关键概念。那结合刚才说的加速度是否恒定，如果我们把这三段不等长路段的平均…
［后段］
学生：我觉得可以，因为路程相同的情况下，每段平均速度等于路程除以时间，速度变化量就反映在时间变化上，所以…
老师：如果相邻时间差基本相等，那你能推出速度变化的规律是什么吗？相邻时间差相等和速度均匀增加之间是什么关…
学生：由t等于s除以v可以推出，路程相等时时间与平均速度成反比，如果相邻时间差相等，那么每段的平均速度差…

【对话 B】
［前段］
学生：老师，我觉得它们本质上的区别就在于速度变不变。匀速运动速度一直不变，所以每段平均速度都一样；而加速…
老师：你概括得太到位了！你一下子点出了这两种运动的本质区别就在于'速度变不变'——匀速运动速度恒定，各段…
学生：老师，通过这个对比我觉得物理里判断这类问题，关键是先看速度变不变，变的话再看是在变大还是变小，这样…
［中段］
学生：老师我明白了，原来总时间减上半段时间才是下半段真实的运动时间，因为两次都是从顶端静止出发，对应的是…
老师：你理解得非常准确。那老师再帮你把这个方法的适用条件明确一下：总时间减上半段时间得到下半段时间，这个…
学生：对，老师，所以咱们实验的时候一定得每次都把小车放到同一个位置从静止释放，这样才能保证两次的运动过程…
［后段］
老师：说得非常好！你一眼就看出了关键——全程测平均速度只有一次释放、一次计时，数据来自同一次运动过程，基…
学生：老师，我觉得这个“自然成立”的感觉就很像我们跑步测一个操场的平均速度——只要从起点跑到终点记一次总…
老师：这个类比特别贴切！你抓住了关键：全程测量时基准天然统一，就像跑完整个操场只需要记一次总时间；而分段…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A13：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A13：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A13：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A13：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A14】
年级阶段：初中（初一）
学科：数学
主题：三角形的内角和

【对话 A】
［前段］
学生：老师，您说的“从算到证、从用到创”我好像有点明白了。就像我们刚才推外角和定理，不是套公式算答案，而…
老师：说得太好了！你刚才把""从算到证、从用到创""和我们的推导过程联系起来了，而且你特别点到了关键——数学…
学生：我觉得就像搭积木一样，之前学的邻补角和内角和就是一块块积木，我们今天用它们搭出了外角和这个新结论，…
［中段］
学生：老师，我觉得可以试试！既然外角等于不相邻两内角之和，那把三个外角分别写出来，加起来就是两倍的内角和…
老师：你的思路完全正确！不过这里有个细节我们要再确认一下——你说'三个外角加起来就是两倍的内角和'，你能…
学生：我说的是这三个外角：延长AB得到外角∠CBF，它等于∠BAC加∠BCA；延长BC得到外角∠ACD，…
［后段］
老师：你说‘每个内角出现两次’是把内角和与外角和连起来的桥。我想听听你的个人看法：你觉得这座‘桥’之所以…
学生：我觉得是结构必然，不是巧合。因为每个内角都有一个相邻的外角，这个对应关系是三角形本身固定不变的，就…
老师：你说的这个‘结构必然’很关键。那我问你：如果换成一个任意形状的三角形，比如一个特别扁、特别锐的三角…

【对话 B】
［前段］
学生：六个外角可以分成三组，每组两个相等，所以六外角和就等于两倍的三个外角和。而每个外角等于180度减对…
老师：那我们现在把外角的性质梳理一下：外角与相邻内角互补，外角等于不相邻两内角之和，每个顶点有两个相等的…
学生：我觉得核心性质是外角等于不相邻两内角之和，因为邻补角那个是定义直接给的，而外角相等和六外角和720…
［中段］
学生：我记得当时是过三角形一个顶点作对边的平行线，把三个内角拼到同一个顶点旁边，正好组成一个平角，所以是…
老师：那既然内角和是通过平行线转移角来证明的，外角等于不相邻内角和能不能也用同样的平行线方法直接看出来？
学生：因为刚才证明内角和时是过顶点作平行线把三个角拼成平角，现在如果过顶点作对边的平行线，把不相邻的两个…
［后段］
学生：我觉得能推出来，因为过顶点作对边的平行线，用同位角和内错角把两个不相邻内角移到外角位置，这一整个过…
老师：你刚才说内角和定理不是必要条件，那如果现在让你把证明外角性质的完整推理链重新梳理一遍，从公理出发到…
学生：这么一整理我发现，其实外角性质的推理链更短更直接，从公理出发两步就到了结论；而内角和定理要先作平行…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A14：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A14：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A14：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A14：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 A15】
年级阶段：初中（初三）
学科：语文
主题：阅读

【对话 A】
［前段］
老师：你刚才说‘眼里只有对方的感觉’和‘心跳加速的紧张和幸福’，这些感受其实指向了爱情中不同的层面。那你…
学生：我觉得前者更多是一种心动，就是那种刚开始喜欢一个人时心跳加速的感觉，很热烈很新鲜；而后者更像是一种…
老师：你这个比喻很妙——火花和长明的灯。那你能不能从信里找到具体的句子或场景，分别对应你说的这两种感受？…
［中段］
学生：对，我觉得‘仍然’里确实有那种‘本以为会变’的意味。就像我喜欢的球队，我从初一喜欢到现在，如果我说…
老师：你这个对比说得太到位了——‘一直’是平的，‘仍然’是有起伏的。你用自己的球队经历来解释，一下子就把…
学生：老师，您总结得太到位了——‘一直’是平的，‘仍然’是有起伏的，这个对比一下子就把两个词的差别说清楚…
［后段］
老师：你刚才提到'几十年一起走过的日子'，那请你回到课文中，仔细找一找苏霍姆林斯基在写这段共同生活时，有…
学生：老师，我找到了一处。课文里写他们‘一起’经历了很多事，我觉得他在这里用‘一起’而不是‘各自’，是因…
老师：你把这个对比抓得非常好——‘一起’和‘各自’，一个强调同路，一个强调分离，这正是苏霍姆林斯基用词的…

【对话 B】
［前段］
学生：我觉得作者是从三个层面来写忠诚的：先是爷爷年轻时对奶奶的真心，然后是几十年生活里的不离不弃，最后是…
老师：我们刚刚梳理了忠诚从年轻时到暮年的递进，那你能不能试着把‘爱情-忠诚-守护’这三者的关系，用你自己…
学生：我觉得可以这样归纳：爱情是起点，它让人产生想守护对方的愿望；忠诚是过程，它让人在漫长岁月里一直坚守…
［中段］
学生：我找到的是‘诉说’和‘陪伴’这两个词。‘诉说’是告别，因为人在告别时才需要把心里话讲出来；‘陪伴’…
老师：你从‘诉说’和‘陪伴’两个词里读出了告别与延续，那这两者之间有没有主次之分？你觉得作者更想突出的是…
学生：我觉得作者更想突出的是延续。因为‘诉说’虽然是告别时做的事，但诉说的内容都是回忆和爱，是说给‘活’…
［后段］
老师：你刚才说'爬月台'是情感的高潮，那在《背影》里，作者在'买橘子'之前和之后还写了哪些动作？这些动作…
学生：买橘子之前，父亲先是‘再三嘱咐’茶房照应我，又‘亲自送’我上车，还‘拣定’靠门的座位，这些动作是琐…
老师：你刚才用‘波浪式推进’概括了《背影》的情感节奏，那能不能把这种节奏和咱们归纳出的‘以事载情’三步法…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A15：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A15：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A15：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 A15：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
单选题,"【题库材料 B01】
年级阶段：小学（六年级）
学科：语文
主题：黑孩子罗伯特

【对话 A】
［前段］
学生：我觉得就算罗伯特没受过歧视，他可能还是会捐钱，但肯定没有现在这么坚决。正因为那些'黑鬼'的伤害让他…
老师：说得太好了！'被雨淋过的人，才会更快地给别人撑伞'——这个比喻很贴切。罗伯特正是因为自己淋过歧视的…
学生：我来总结一下罗伯特的形象特点：首先，他生活在充满歧视的环境里，却从不怨恨别人；其次，他把自己最珍贵…
［中段］
学生：老师，您说得对，这两个细节确实最能说明问题，我现在更明白罗伯特是在怎样的环境里长大的了。
老师：你不仅找到了这两个关键细节，还把它们和罗伯特的成长环境联系起来了——'白人同学不愿意跟他坐同桌'这…
学生：老师，我认同您说的，歧视不只是大人的态度，连同学都这样对他，罗伯特真的太不容易了。
［后段］
老师：你对比得很透彻——两个‘不敢’都是渴望与自我保护在拉扯。那老师想请你再往前想一步：从‘偷偷看’到‘…
学生：我觉得罗伯特是在一点点变化的。因为一开始他连看都不敢光明正大地看，只能偷偷地看一眼；后来到了丽莎家…
老师：你刚才说罗伯特从'偷偷看'到'放下花'，是在一点点变化。那老师想请你深入想一想：他放下花的那一刻，…

【对话 B】
［前段］
学生：我找到了！课文里写“雨哗哗地下着，马路变成了泥河”，还有“他深一脚浅一脚地走着”，这些词就写出了雨…
老师：你找得很准确。现在老师想请大家想一想：作者为什么要花这么多笔墨，特意写“雨哗哗地下着”“深一脚浅一…
学生：我觉得如果删掉这些描写，就感受不到罗伯特送报纸有多艰难了。因为“雨哗哗地下着”和“深一脚浅一脚”能…
［中段］
学生：老师，我想起一件事，有一次我在学校和同桌吵架了，我气得一天没理他。后来他主动跟我道歉，我心里那个疙…
老师：你能从自己的亲身经历中体会到道歉带来的那种释然，这很好。那老师想请你再想一想：丽莎爸爸说出这句'对…
学生：我觉得这句""对不起""对丽莎爸爸自己来说，就像把他心里那块压了很久的大石头搬走了一样。因为他以前一直…
［后段］
老师：你说这种犹豫和不舍，其实和罗伯特放下小飞机模型时的感受很像。那老师想听听你自己的判断——如果换作你…
学生：我想我会的，因为虽然小飞机模型对我来说很珍贵，但要是能救回一个好朋友的命，那比什么都重要。就像我奶…
老师：你说你会先舍不得一下，但最后还是会像罗伯特那样放下。那老师想听听你自己的看法——你觉得在你做出这个…

Q1　总的来看，哪段对话更能把知识点讲开、讲清楚，并把前后的内容连起来？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 B01：继续评价上述同一组对话】
Q2　哪段对话后面说的话更能接住前面的内容，并继续往下讲？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 B01：继续评价上述同一组对话】
Q3　哪段对话更符合这个年级、学科和主题，也更少出现明显错误或跑题？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 B01：继续评价上述同一组对话】
Q4　哪段对话较少反复说同样的话，而且能继续增加有用的新内容？",A 好很多,A 好一点,两段差不多,B 好一点,B 好很多,看不出来,,,0
单选题,"【题库材料 B01：继续评价上述同一组对话】
Q5　您对刚才的判断有多大把握？（没太大把握 / 有一些把握 / 很有把握）",没太大把握,有一些把握,很有把握,,,,,,0
